jhu,wb
Bahamas,"Bahamas, The"
Brunei,Brunei Darussalam
Burma,Myanmar
Congo (Brazzaville),"Congo, Rep."
Congo (Kinshasa),"Congo, Dem. Rep."
Czechia,Czech Republic
Egypt,"Egypt, Arab Rep."
Gambia,"Gambia, The"
Iran,"Iran, Islamic Rep."
"Korea, South","Korea, Rep."
Kyrgyzstan,Kyrgyz Republic
Laos,Lao PDR
Micronesia,"Micronesia, Fed. Sts."
Russia,Russian Federation
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
Slovakia,Slovak Republic
Syria,Syrian Arab Republic
US,United States
Venezuela,"Venezuela, RB"
Yemen,"Yemen, Rep."
